date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_economically_active_aged_16_and_over,total_in_employment_aged_16_and_over,total_unemployed_aged_16_and_over,total_economically_inactive_aged_16_and_over,all_persons_aged_16_to_64,total_economically_active_aged_16_to_64,total_in_employment_aged_16_to_64,total_unemployed_aged_16_to_64,total_economically_inactive_aged_16_to_64
2010-01-01,Nov 2009-Jan 2010,Male,London,Level,20100,number of people,3101488,2260381,2056056,204326,841107,2721713,2217930,2015686,202244,503783
2010-01-01,Nov 2009-Jan 2010,Male,London,Change on quarter,20100,number of people,12015,-35184,-32852,-2331,47199,10481,-20056,-19588,-468,30537
2010-01-01,Nov 2009-Jan 2010,Male,London,Change on year,20100,number of people,48592,-31762,-71704,39943,80354,42777,-33455,-71132,37676,76232
2010-01-01,Nov 2009-Jan 2010,Male,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,72.9,66.3,9,27.1,,81.5,74.1,9.1,18.5
2010-01-01,Nov 2009-Jan 2010,Male,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.4,-1.3,0,1.4,,-1.1,-1,0.1,1.1
2010-01-01,Nov 2009-Jan 2010,Male,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.2,-3.4,1.9,2.2,,-2.6,-3.8,1.8,2.6
2010-01-01,Nov 2009-Jan 2010,Female,London,Level,20100,number of people,3246324,1876609,1711085,165524,1369715,2762155,1846226,1681659,164567,915929
2010-01-01,Nov 2009-Jan 2010,Female,London,Change on quarter,20100,number of people,10582,5796,22746,-16950,4786,9698,6911,24479,-17568,2787
2010-01-01,Nov 2009-Jan 2010,Female,London,Change on year,20100,number of people,47082,-9910,-19720,9810,56992,43353,-9535,-19893,10358,52888
2010-01-01,Nov 2009-Jan 2010,Female,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,57.8,52.7,8.8,42.2,,66.8,60.9,8.9,33.2
2010-01-01,Nov 2009-Jan 2010,Female,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.5,-0.9,0,,0,0.7,-1,0
2010-01-01,Nov 2009-Jan 2010,Female,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,-1.4,0.6,1.2,,-1.4,-1.7,0.6,1.4
2010-01-01,Nov 2009-Jan 2010,Total,London,Level,20100,number of people,6347812,4136990,3767141,369849,2210822,5483868,4064156,3697345,366811,1419712
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on quarter,20100,number of people,22597,-29388,-10106,-19282,51985,20179,-13145,4891,-18036,33324
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on year,20100,number of people,95674,-41672,-91424,49753,137346,86130,-42990,-91025,48035,129120
2010-01-01,Nov 2009-Jan 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,65.2,59.3,8.9,34.8,,74.1,67.4,9,25.9
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,-0.4,-0.4,0.7,,-0.5,-0.2,-0.4,0.5
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.7,-2.4,1.3,1.7,,-2,-2.8,1.3,2
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Level,20100,number of people,24264668,16897455,15407183,1490272,7367213,19898831,16416424,14943568,1472853,3482407
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Change on quarter,20100,number of people,60184,-73556,-41005,-32549,133740,32634,-80159,-50361,-29800,112793
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Change on year,20100,number of people,221731,-186269,-452013,265743,408000,114117,-210032,-469341,259304,324149
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,69.6,63.5,8.8,30.4,,82.5,75.1,9,17.5
