date_day,date_name,geography_name,sex_name,age_name,measure_value,measure_name
2015-01-01,January 2015,London,Total,All categories: Age 16+,123235,Claimant count
2015-01-01,January 2015,London,Total,All categories: Age 16+,2.1,Claimants as a proportion of residents aged 16-64
2015-01-01,January 2015,London,Total,All categories: Age 16+,2.6,Claimants as a proportion of economically active residents aged 16+
2015-01-01,January 2015,London,Total,All categories: Age 16+,2.1,Claimants as a proportion of the workforce
2015-01-01,January 2015,London,Total,Age unknown (clerical claims),205,Claimant count
2015-01-01,January 2015,London,Total,Aged 16-24,21845,Claimant count
2015-01-01,January 2015,London,Total,Aged 16-17,50,Claimant count
2015-01-01,January 2015,London,Total,Aged 18-24,21795,Claimant count
2015-01-01,January 2015,London,Total,Aged 18-21,11360,Claimant count
2015-01-01,January 2015,London,Total,Aged 25-49,73835,Claimant count
2015-01-01,January 2015,London,Total,Aged 25-29,17890,Claimant count
2015-01-01,January 2015,London,Total,Aged 30-34,14540,Claimant count
2015-01-01,January 2015,London,Total,Aged 35-39,12905,Claimant count
2015-01-01,January 2015,London,Total,Aged 40-44,13625,Claimant count
2015-01-01,January 2015,London,Total,Aged 45-49,14870,Claimant count
2015-01-01,January 2015,London,Total,Aged 50+,27350,Claimant count
2015-01-01,January 2015,London,Total,Aged 50-54,13535,Claimant count
2015-01-01,January 2015,London,Total,Aged 55-59,9845,Claimant count
2015-01-01,January 2015,London,Total,Aged 60-64,3970,Claimant count
2015-01-01,January 2015,London,Total,Aged 65+,5,Claimant count
2015-01-01,January 2015,London,Male,All categories: Age 16+,72720,Claimant count
2015-01-01,January 2015,London,Male,All categories: Age 16+,2.5,Claimants as a proportion of residents aged 16-64
2015-01-01,January 2015,London,Male,All categories: Age 16+,2.3,Claimants as a proportion of the workforce
2015-01-01,January 2015,London,Male,Age unknown (clerical claims),140,Claimant count
2015-01-01,January 2015,London,Male,Aged 16-24,13030,Claimant count
2015-01-01,January 2015,London,Male,Aged 16-17,30,Claimant count
2015-01-01,January 2015,London,Male,Aged 18-24,13000,Claimant count
2015-01-01,January 2015,London,Male,Aged 18-21,6635,Claimant count
2015-01-01,January 2015,London,Male,Aged 25-49,42870,Claimant count
2015-01-01,January 2015,London,Male,Aged 25-29,10770,Claimant count
2015-01-01,January 2015,London,Male,Aged 30-34,8580,Claimant count
2015-01-01,January 2015,London,Male,Aged 35-39,7405,Claimant count
2015-01-01,January 2015,London,Male,Aged 40-44,7595,Claimant count
2015-01-01,January 2015,London,Male,Aged 45-49,8530,Claimant count
2015-01-01,January 2015,London,Male,Aged 50+,16680,Claimant count
